District,rep_raise,rep_spend,dem_raise,dem_spend
PA-15,"$2,612,119 ","$2,307,953 ","$49,953 ","$46,524 "
PA-16,"$1,283,123 ","$1,260,597 ","$802,401 ","$800,705 "
PA-17,"$2,754,951 ","$2,647,968 ","$3,256,753 ","$3,205,761 "
RI-01,"$41,785 ","$42,702 ","$1,960,378 ","$1,584,235 "
RI-02,"$2,172,188 ","$2,130,449 ","$3,849,065 ","$3,846,709 "
SC-01,"$5,740,999 ","$5,548,913 ","$2,028,750 ","$1,932,512 "
SC-02,"$1,014,278 ","$798,491 ","$94,121 ","$91,952 "
SC-03,"$1,663,541 ","$1,421,575 ",,
SC-04,"$1,422,245 ","$887,690 ",,
SC-05,"$394,232 ","$579,998 ",,
SC-06,"$202,043 ","$186,411 ","$3,533,642 ","$3,097,811 "
SC-07,"$1,400,574 ","$1,149,888 ",,
SD-AL,"$2,568,405 ","$1,262,207 ",,
TN-01,"$1,948,164 ","$1,287,903 ",,
TN-02,"$1,404,258 ","$1,135,540 ","$85,153 ","$79,991 "
TN-03,"$634,711 ","$486,423 ","$62,500 ","$68,550 "
TN-04,"$170,488 ","$149,969 ",,
TN-05,"$1,148,560 ","$836,569 ","$1,080,821 ","$1,045,611 "
TN-06,"$1,043,876 ","$661,314 ","$2,952 ","$4,339 "
TN-07,"$1,691,784 ","$1,791,970 ",,
TN-08,"$1,897,726 ","$1,437,401 ","$1,025 ",$775 
TN-09,"$348,932 ","$48,824 ","$544,876 ","$308,392 "
TX-01,"$1,000,598 ","$852,243 ","$128,065 ","$82,073 "
TX-02,"$15,348,988 ","$15,417,856 ","$231,492 ","$206,354 "
TX-03,"$575,419 ","$488,463 ","$450,939 ","$441,131 "
TX-04,"$853,991 ","$745,853 ","$74,499 ","$44,567 "
TX-05,"$1,038,844 ","$966,466 ","$13,686 ","$15,183 "
TX-06,"$6,684,250 ","$6,170,827 ",,
TX-07,"$191,714 ","$200,247 ","$3,617,550 ","$2,292,107 "
TX-08,"$4,698,728 ","$3,710,769 ","$38,689 ","$39,698 "
TX-09,"$1,111 ","$5,355 ","$405,639 ","$371,957 "
TX-10,"$2,695,446 ","$2,329,795 ",,
TX-11,"$2,839,622 ","$1,990,080 ",,
TX-12,"$1,952,241 ","$1,936,860 ","$50,179 ","$44,513 "
TX-13,"$4,754,156 ","$4,246,394 ","$182,210 ","$163,989 "
TX-14,"$1,017,716 ","$1,027,205 ","$68,851 ","$49,014 "
TX-15,"$4,566,758 ","$4,472,533 ","$2,325,021 ","$2,296,378 "
TX-16,"$382,583 ","$385,038 ","$1,289,650 ","$1,271,651 "
TX-17,"$831,537 ","$896,120 ",,
TX-18,"$126,353 ","$119,819 ","$960,952 ","$820,351 "
TX-19,"$2,059,285 ","$1,732,363 ",,
TX-20,"$150,190 ","$147,146 ","$676,565 ","$593,811 "
TX-21,"$2,289,939 ","$1,459,262 ","$104,974 ","$88,476 "
TX-22,"$1,370,850 ","$995,920 ",,
TX-23,"$4,246,081 ","$3,903,144 ","$657,863 ","$654,600 "
TX-24,"$3,736,753 ","$2,578,108 ","$135,190 ","$118,330 "
TX-25,"$1,692,775 ","$1,352,939 ","$14,402 ","$14,402 "
